column_name,description,symbol,unit,type,example_value,nullable,group
l_1b,Length of bottom gusset plate segment 1,,mm,String,na,True,Gusset plate dimensions
l_2b,Length of bottom gusset plate segment 2,,mm,String,na,True,Gusset plate dimensions
l_3b,Length of bottom gusset plate segment 3,,mm,String,na,True,Gusset plate dimensions
l_4b,Length of bottom gusset plate segment 4,,mm,String,na,True,Gusset plate dimensions
l_5b,Length of bottom gusset plate segment 5,,mm,String,na,True,Gusset plate dimensions
l_6b,Length of bottom gusset plate segment 6,,mm,String,na,True,Gusset plate dimensions
l_7b,Length of bottom gusset plate segment 7,,mm,DecimalFloat,na,True,Gusset plate dimensions
l_8b,Length of bottom gusset plate segment 8,,mm,DecimalFloat,na,True,Gusset plate dimensions
t_b,Thickness of bottom gusset plate,,mm,String,12,True,Gusset plate dimensions
steel_gp,Steel grade of gusset plates,,-,String,A572 Gr.50,True,Gusset plate material properties
f_yn_gp,Nominal yield strength of gusset plates,,MPa,DecimalFloat,345,True,Gusset plate material properties
f_ym_gp,Measured yield strength of gusset plates,,MPa,DecimalFloat,508,True,Gusset plate material properties
f_um_gp,Measured ultimate strength of gusset plates,,MPa,DecimalFloat,549,True,Gusset plate material properties
weld_type,Type of welding used,,-,String,Fillet,True,Connection detailing
l_weld,Length of weld,,mm,DecimalFloat,254,True,Connection detailing
t_weld,Thickness of weld,,mm,DecimalFloat,6.4,True,Connection detailing
stick_space,Stick-out spacing,,mm,DecimalFloat,na,True,Connection detailing
nub_bolts,Number of bolts,,-,DecimalFloat,na,True,Connection detailing
bolt_size,Size designation of bolts,,-,String,na,True,Connection detailing
bolt_mat,Material specification of bolts,,-,String,na,True,Connection detailing
reinforcement_pl,Reinforcement plate dimensions,,-,String,203x51x6.4,True,Connection detailing
loading_protocol,Type of loading protocol applied,,-,String,Symmetric Cyclic,False,Loading details
p_t,Measured tensile capacity,,kN,DecimalFloat,1099,True,Measured and theoretical resistance
p_t_theory,Theoretical tensile capacity,,kN,DecimalFloat,970.6,True,Measured and theoretical resistance
p_c,Measured compressive capacity,,kN,DecimalFloat,698,True,Measured and theoretical resistance
kl_r,Slenderness ratio,,-,DecimalFloat,77,True,Measured and theoretical resistance
l_c,Normalized slenderness ratio,,-,DecimalFloat,1.2,True,Measured and theoretical resistance
l_c_theory,Theoretical normalized slenderness ratio,,-,DecimalFloat,1.18,True,Measured and theoretical resistance
k_assumed,Assumed effective length factor,,-,DecimalFloat,1,True,Measured and theoretical resistance
kl_r_theory,Theoretical slenderness ratio,,-,DecimalFloat,77.13,True,Measured and theoretical resistance
reference,Citation of the source publication,,-,String,"Wakabayashi, M., Nakamura, T., & Yoshida, N. (1977)...",False,Experimental program details
link,URL to the source document,,-,String,https://repository.kulib.kyoto-u.ac.jp/...,True,Experimental program details
latitude,Geographical latitude of testing facility,,degrees,Numeric,35.0262,True,Experimental program details
longitude,Geographical longitude of testing facility,,degrees,Numeric,135.7808,True,Experimental program details
