column_name,description,symbol,unit,type,example_value,nullable
l_bu_wld,Butt weld detail,,-,String,CJP single V-groove + fillet,True
l_s_side,Link side designation,,-,String,single,False
l_s_reg,Regularity of link side,,-,String,non-regular,False
l_s_d_pnl_1_f,Load distribution panel 1 front value,,-,DecimalFloat,168.402,False
l_s_d_pnl_2_f,Load distribution panel 2 front value,,-,DecimalFloat,136.652,False
l_s_d_pnl_1_b,Load distribution panel 1 back value,,-,DecimalFloat,355.6,True
l_s_d_pnl_2_b,Load distribution panel 2 back value,,-,DecimalFloat,279.4,True
t_s,Test sequence duration or identifier,,-,DecimalFloat,9.5,False
l_s_weld,Weld type on link side,,-,String,fillet,False
l_s_no_f,Number of fillet welds on link side,,-,Integer,4,False
l_s_no_b,Number of butt welds on link side,,-,Integer,NA,True
a_b_b,Base plate area or dimension,,-,DecimalFloat,48.2,False
t_e_s,Test end specification value,,-,DecimalFloat,9.5,False
t_b_s,Test base specification value,,-,DecimalFloat,9.5,True
d_b_s,Base dimension specification,,-,DecimalFloat,9.5,True
d_b_pnl_1,Dimension of base panel 1,,-,DecimalFloat,263.7,False
d_b_pnl_2,Dimension of base panel 2,,-,DecimalFloat,457.2,True
b_s_no,Number of base supports,,-,SmallInteger,2,True
l_p_typ,Load pattern type,,-,String,Symmetric cyclic,False
n_d_n_pl_ten,Number of non-plastic tensile elements,,-,DecimalFloat,0.49,True
n_d_n_pl_comp,Number of non-plastic compressive elements,,-,DecimalFloat,0.49,True
fail_mode,Failure mode,,-,String,FM5,False
ov_aisc,Overstrength factor (AISC),,-,DecimalFloat,1.19,False
ov_ec8,Overstrength factor (EC8),,-,DecimalFloat,1.93,False
class_aisc,Classification according to AISC,,-,String,intermediate,False
class_ec8,Classification according to EC8,,-,String,long,False
reference,Reference citation for the study,,-,String,"Engelhardt, M. and Popov, E. P. (1989). Behavior of long links in eccentrically braced frames. Report No. UCB/EERC- 89/01, Earthquake Engineering Research Center, Berkeley, California",False
url,URL to the reference document,,-,String,https://nehrpsearch.nist.gov/static/files/NSF/PB92143056.pdf,False
latitude,Latitude of the test location,,degrees,DecimalFloat,37.8742565,False
longitude,Longitude of the test location,,degrees,DecimalFloat,-122.2387092,False
