"Chrord Rotation, θ [rads]",Moment [kN-mm],
-1.09E-02,-3.69E+05,
-1.03E-02,-9.29E+04,
-9.81E-03,9.48E+04,
-7.48E-03,7.63E+05,
-4.70E-03,1.32E+06,
-2.07E-03,1.60E+06,
7.12E-04,1.82E+06,
3.06E-03,1.94E+06,
5.69E-03,2.04E+06,
8.05E-03,2.12E+06,
1.08E-02,2.18E+06,
1.34E-02,2.22E+06,
1.36E-02,1.46E+06,
1.29E-02,6.55E+05,
1.17E-02,-5.02E+04,
1.00E-02,-4.99E+05,
8.34E-03,-1.03E+06,
6.12E-03,-1.40E+06,
3.83E-03,-1.63E+06,
7.36E-04,-1.86E+06,
-2.35E-03,-2.02E+06,
-4.93E-03,-2.14E+06,
-7.04E-03,-2.21E+06,
-9.40E-03,-2.28E+06,
-1.18E-02,-2.32E+06,
-1.21E-02,-1.77E+06,
-1.13E-02,-8.14E+05,
-1.03E-02,-8.16E+04,
-1.02E-02,-5.64E+04,
-7.86E-03,5.85E+05,
-6.19E-03,1.06E+06,
-3.01E-03,1.52E+06,
-2.54E-04,1.76E+06,
2.98E-03,1.94E+06,
6.68E-03,2.08E+06,
9.49E-03,2.17E+06,
1.16E-02,2.22E+06,
1.38E-02,2.25E+06,
1.53E-02,2.25E+06,
1.69E-02,2.25E+06,
1.93E-02,2.27E+06,
2.24E-02,2.26E+06,
2.51E-02,2.25E+06,
2.67E-02,2.24E+06,
2.68E-02,1.43E+06,
2.57E-02,4.77E+05,
2.43E-02,-6.72E+04,
2.17E-02,-6.44E+05,
1.88E-02,-1.13E+06,
1.51E-02,-1.48E+06,
1.03E-02,-1.77E+06,
1.01E-02,-1.73E+06,
5.93E-03,-1.97E+06,
1.11E-03,-2.14E+06,
-3.43E-03,-2.27E+06,
-8.07E-03,-2.37E+06,
-1.25E-02,-2.39E+06,
-1.32E-02,-2.41E+06,
-1.87E-02,-2.42E+06,
-2.18E-02,-2.39E+06,
-2.41E-02,-2.38E+06,
-2.44E-02,-1.78E+06,
-2.30E-02,-6.00E+05,
-2.17E-02,-6.13E+04,
-1.78E-02,8.15E+05,
-1.47E-02,1.24E+06,
-8.33E-03,1.67E+06,
-2.78E-03,1.86E+06,
2.47E-03,1.99E+06,
8.33E-03,2.09E+06,
1.37E-02,2.12E+06,
1.93E-02,2.12E+06,
2.57E-02,2.10E+06,
2.86E-02,2.07E+06,
2.78E-02,1.15E+06,
2.62E-02,3.75E+05,
2.44E-02,-6.34E+04,
1.92E-02,-7.89E+05,
1.50E-02,-1.19E+06,
9.58E-03,-1.51E+06,
4.97E-03,-1.70E+06,
4.75E-03,-1.67E+06,
-7.51E-04,-1.87E+06,
-5.55E-03,-2.01E+06,
-1.38E-02,-2.18E+06,
-1.98E-02,-2.17E+06,
-2.41E-02,-2.20E+06,
-2.72E-02,-2.19E+06,
-2.69E-02,-1.40E+06,
-2.50E-02,-4.13E+05,
-2.32E-02,-5.11E+03,
-2.31E-02,-5.55E+03,
-1.79E-02,8.28E+05,
-1.36E-02,1.21E+06,
-8.78E-03,1.45E+06,
-1.05E-03,1.58E+06,
6.76E-03,1.77E+06,
1.25E-02,1.85E+06,
1.85E-02,1.93E+06,
2.48E-02,1.94E+06,
2.94E-02,1.91E+06,
3.18E-02,1.90E+06,
3.67E-02,1.88E+06,
3.89E-02,1.84E+06,
3.91E-02,1.81E+06,
3.92E-02,1.80E+06,
3.79E-02,1.12E+06,
3.51E-02,3.63E+05,
3.25E-02,-4.30E+04,
3.23E-02,-1.37E+04,
2.82E-02,-5.35E+05,
2.26E-02,-9.22E+05,
1.54E-02,-1.23E+06,
8.03E-03,-1.40E+06,
-2.72E-04,-1.54E+06,
-5.26E-03,-1.65E+06,
-1.17E-02,-1.82E+06,
-1.87E-02,-1.95E+06,
-2.49E-02,-2.00E+06,
-3.20E-02,-2.04E+06,
-3.92E-02,-2.03E+06,
-4.01E-02,-2.00E+06,
-3.90E-02,-1.35E+06,
-3.69E-02,-6.59E+05,
-3.32E-02,2.01E+04,
-2.70E-02,6.40E+05,
-2.40E-02,8.43E+05,
-2.32E-02,8.86E+05,
-1.78E-02,1.15E+06,
-1.10E-02,1.24E+06,
-2.94E-03,1.27E+06,
5.71E-03,1.35E+06,
1.14E-02,1.47E+06,
1.95E-02,1.62E+06,
2.66E-02,1.69E+06,
3.41E-02,1.74E+06,
3.93E-02,1.73E+06,
3.83E-02,1.19E+06,
3.46E-02,3.85E+05,
3.10E-02,-4.54E+04,
2.28E-02,-6.02E+05,
1.48E-02,-9.14E+05,
6.81E-03,-1.06E+06,
3.81E-03,-1.10E+06,
-5.42E-03,-1.27E+06,
-1.63E-02,-1.55E+06,
-2.55E-02,-1.80E+06,
-3.47E-02,-1.92E+06,
-4.05E-02,-1.93E+06,
-3.87E-02,-1.23E+06,
-3.57E-02,-4.44E+05,
-3.29E-02,-4.03E+03,
-3.28E-02,-5.21E+03,
-2.59E-02,6.39E+05,
-2.31E-02,8.05E+05,
-1.67E-02,9.90E+05,
-1.30E-02,1.03E+06,
-1.66E-02,2.10E+04,
-1.68E-02,8.31E+03,
-1.68E-02,7.88E+03,
-1.41E-02,8.36E+05,
-9.37E-03,1.10E+06,
2.98E-03,1.30E+06,
1.34E-02,1.53E+06,
2.17E-02,1.65E+06,
3.48E-02,1.73E+06,
4.33E-02,1.71E+06,
5.28E-02,1.65E+06,
5.76E-02,1.61E+06,
5.20E-02,4.71E+05,
4.63E-02,-1.04E+05,
3.64E-02,-5.90E+05,
2.66E-02,-8.35E+05,
1.53E-02,-9.56E+05,
2.36E-03,-1.04E+06,
-8.04E-03,-1.19E+06,
-1.77E-02,-1.43E+06,
-2.77E-02,-1.64E+06,
-3.62E-02,-1.75E+06,
-4.24E-02,-1.79E+06,
-4.90E-02,-1.81E+06,
-5.50E-02,-1.81E+06,
-5.68E-02,-1.81E+06,
-5.38E-02,-1.06E+06,
-5.00E-02,-4.07E+05,
-4.56E-02,4.12E+02,
-3.57E-02,5.58E+05,
-2.55E-02,8.91E+05,
-1.20E-02,9.47E+05,
1.25E-04,1.02E+06,
1.24E-02,1.17E+06,
2.45E-02,1.38E+06,
3.55E-02,1.49E+06,
4.37E-02,1.53E+06,
5.08E-02,1.55E+06,
5.98E-02,1.51E+06,
5.56E-02,7.58E+05,
5.00E-02,1.55E+05,
4.65E-02,-7.94E+04,
3.74E-02,-4.63E+05,
2.81E-02,-6.76E+05,
1.62E-02,-7.92E+05,
6.66E-03,-8.42E+05,
-3.45E-03,-8.86E+05,
-1.38E-02,-9.26E+05,
-2.39E-02,-1.10E+06,
-3.44E-02,-1.31E+06,
-4.46E-02,-1.48E+06,
-5.49E-02,-1.60E+06,
-5.99E-02,-1.63E+06,
-5.68E-02,-9.78E+05,
-5.15E-02,-2.44E+05,
-4.68E-02,7.86E+04,
